time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.44000000,17.89469952,10.92354998,2.00269171,-1.30624517,0.30699775,0.02102887,-4.95869593,1.16540795,0.07973110,1.18845289,-0.27931390,-0.01711709,8.68803497,-2.04188852,-0.14501153,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.46000000,17.86758451,10.92992263,2.00312821,-1.40517296,0.33024806,0.02261992,-4.93380167,1.15955722,0.07936972,1.27452852,-0.29954366,-0.01858904,0.76084752,-0.17881663,-0.01559261,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.48000000,17.83849599,10.93675911,2.00359646,-1.50359452,0.35337940,0.02420360,-4.90843033,1.15359437,0.07899934,1.25339647,-0.29457714,-0.01829230,-2.00200457,0.47051729,0.03129349,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.50000000,17.80744407,10.94405702,2.00409631,-1.60151482,0.37639293,0.02577997,-4.88368690,1.14777909,0.07863871,1.22898603,-0.28884012,-0.01789218,0.40412390,-0.09497848,-0.00486480,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.52000000,17.77443869,10.95181405,2.00462761,-1.69894027,0.39929016,0.02734913,-4.85862045,1.14188789,0.07827352,1.30179972,-0.30595302,-0.01900776,7.63518255,-1.79444415,-0.11897908,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.54000000,17.73948996,10.96002781,2.00519022,-1.79583872,0.42206353,0.02891058,-4.83036085,1.13524624,0.07785847,1.56217614,-0.36714749,-0.02310335,19.02409113,-4.47110046,-0.30073779,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.56000000,17.70260934,10.96869561,2.00578397,-1.89210354,0.44468798,0.03046266,-4.79438439,1.12679094,0.07732137,2.08418227,-0.48983097,-0.03138930,33.61785195,-7.90097095,-0.53516822,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.58000000,17.66381142,10.97781401,2.00640864,-1.98752418,0.46711403,0.03200201,-4.74489337,1.11515940,0.07656907,2.92035382,-0.68635058,-0.04473589,50.22506961,-11.80405021,-0.80336869,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.60000000,17.62311621,10.98737833,2.00706393,-2.08176526,0.48926286,0.03352328,-4.67529078,1.09880119,0.07549503,4.09748143,-0.96300273,-0.06360334,67.47283883,-15.85767382,-1.08339562,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.62000000,17.58055178,10.99738195,2.00774941,-2.17435600,0.51102382,0.03501892,-4.57872726,1.07610653,0.07398803,5.61361962,-1.31933018,-0.08799103,83.87196079,-19.71184571,-1.35129053,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.64000000,17.53615698,11.00781575,2.00846445,-2.26469101,0.53225463,0.03647920,-4.44869441,1.04554581,0.07194174,7.43647467,-1.74774317,-0.11740852,97.88944869,-23.00627861,-1.58223153,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.66000000,17.48998400,11.01866747,2.00920826,-2.35204325,0.55278443,0.03789238,-4.27963529,1.00581302,0.06926461,9.50330689,-2.23349642,-0.15087072,108.02728317,-25.38890343,-1.75179447,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
