time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
2.25400000,13.72783265,12.64430831,2.59115069,-3.08244019,0.13992936,-0.08530381,-0.53231515,-1.75167943,-1.14486853,0.69857572,0.03089371,-0.15348786,0.69819698,0.79632088,-0.58687867,0.70708927,103,0.00000000
2.31800000,13.52858269,12.64749409,2.58578421,-3.13799739,-0.04102941,-0.07509733,-0.32962192,-1.88468082,-0.29854691,0.68067910,0.05210221,-0.14151780,0.71689193,0.81820107,0.05739657,0.65266424,107,0.00000000
2.38500000,13.31735046,12.63811524,2.58230368,-3.16111676,-0.23340721,-0.02277837,-0.08717112,-1.67867729,0.46993104,0.66598615,0.05747923,-0.11367390,0.73500805,0.79790398,0.76374980,0.57176748,110,0.00000000
2.45500000,13.09632932,12.61576446,2.58341013,-3.14805220,-0.39203230,0.05248236,0.17052416,-1.18128893,0.87107595,0.65418522,0.04706901,-0.07106205,0.75151607,0.70089939,1.17664788,0.47807050,113,0.00000000
2.51900000,12.89595904,12.58763785,2.58895203,-3.11122820,-0.47479937,0.11893482,0.30764212,-0.56543886,0.90469880,0.64528309,0.02664809,-0.02903791,0.76292622,0.49492223,1.51136856,0.36250256,116,0.00000000
2.58500000,12.69221899,12.55549135,2.59908673,-3.06302727,-0.48537056,0.18879327,0.35854277,0.36317403,0.80718884,0.63832858,-0.00903134,0.01636373,0.76953706,0.20955385,1.88913249,0.19355579,120,0.00000000
2.65300000,12.48548558,12.52471980,2.61419715,-3.02067849,-0.40625732,0.24862706,0.29841439,1.16847660,0.61374178,0.63341664,-0.05587976,0.05738336,0.76965445,-0.12190262,1.58519532,0.01083542,123,0.00000000
2.71900000,12.28695688,12.50246959,2.63169419,-2.99929778,-0.26118532,0.27808629,0.17965567,1.86179008,0.32515275,0.63185490,-0.09451034,0.08030222,0.76510048,-0.19233957,1.19158934,-0.17346302,126,0.00000000
2.78800000,12.08018568,12.49121684,2.65126744,-2.99692240,-0.06066142,0.28650187,0.07517786,2.34070795,0.05203493,0.63538550,-0.12559446,0.09725510,0.75568032,-0.10743730,0.80188420,-0.37569708,129,0.00000000
2.85500000,11.87913192,12.49464502,2.67023298,-3.00530932,0.16022335,0.27531978,-0.03075269,2.26910655,-0.11366152,0.64562184,-0.13634390,0.09966421,0.74474816,-0.05943759,-0.30851656,-0.53306733,132,0.00000000
